"String ID","Source text","Translation","Context","Path","Filename"
"1","P","Proportional","","BETAFLIGHT","p.wav"
"2","I","Integral","","BETAFLIGHT","i.wav"
"3","D","Dæmpning","","BETAFLIGHT","d.wav"
"4","D setpoint","D indstilling","","BETAFLIGHT","dsetpt.wav"
"5","acro mode","acro mode","","INAV","acromd.wav"
"6","active","aktiv","","INAV","active.wav"
"7","altitude hold","fast højde","","INAV","althld.wav"
"8","angle mode","vinkel tilstand","","INAV","anglmd.wav"
"9","battery critical","batteri kritisk","","INAV","batcrt.wav"
"10","Low battery","batteri afladet","","INAV","batlow.wav"
"11","battery","batteri","","INAV","battry.wav"
"12","cruise mode","togt tilstand","","INAV","cruzmd.wav"
"13","danger","fare","","INAV","danger.wav"
"14","engines armed","motorer aktiveret","","INAV","engarm.wav"
"15","engines disarmed","motorer deaktiveret","","INAV","engdrm.wav"
"16","failsafe off","fejlsikring fra","","INAV","fsoff.wav"
"17","failsafe on","fejlsikring til","","INAV","fson.wav"
"18","good","god","","INAV","good.wav"
"19","GPS","GPS","","INAV","gps.wav"
"20","heading hold active","fast retning er aktiv","","INAV","hedhlda.wav"
"21","heading hold","fast retning","","INAV","hedhld.wav"
"22","headfree active","retnings fri er aktiv","","INAV","hfact.wav"
"23","headfree off","retnings fri er deaktiveret","","INAV","hfoff.wav"
"24","home reset","hjemposition nul stillet","","INAV","homrst.wav"
"25","horizon mode","horisont tilstand","","INAV","hrznmd.wav"
"26","lost","mistet","","INAV","lost.wav"
"27","manual mode","manuel tilstand","","INAV","manmd.wav"
"28","normal","normal","","INAV","normal.wav"
"29","off","fra","","INAV","off.wav"
"30","on","til","","INAV","on.wav"
"31","position hold","fast position","","INAV","poshld.wav"
"32","ready to fly","klar til flyvning","","INAV","ready.wav"
"33","return to launch","retur til startposition","","INAV","rtl.wav"
"34","too high","for højt","","INAV","toohgh.wav"
"35","warning","advarsel","","INAV","warnng.wav"
"36","waypoint","via punkt","","INAV","waypt.wav"
"37","Acro flight mode","acro flyve tilstan","","YAAPU","acro.wav"
"38","Acro mode","Acro tilstan","","YAAPU","acro_r.wav"
"39","Altitude","Højd","","YAAPU","alt.wav"
"40","Altitude hold flight mode","Fast højde tilstan","","YAAPU","althold.wav"
"41","Motors armed","Motor aktivere","","YAAPU","armed.wav"
"42","Auto flight mode","Auto flyve tilstan","","YAAPU","auto.wav"
"43","Auto mode","Auto tilstan","","YAAPU","auto_r.wav"
"44","Auto RTL flight mode","Auto RTL flyvning tilstan","","YAAPU","autortl.wav"
"45","Autotune enabled","Autotune aktivere","","YAAPU","autotune.wav"
"46","Avoid A D S B flight mode","Undgå A D S B flyvning tilstan","","YAAPU","avoidadsb.wav"
"47","Battery at 5 percent","Batteri på 5 procen","","YAAPU","bat5.wav"
"48","Battery at 10 percent","Batteri på 10 procen","","YAAPU","bat10.wav"
"49","Battery at 15 percent","Batteri på 15 procen","","YAAPU","bat15.wav"
"50","Battery at 20 percent","Batteri på 20 procen","","YAAPU","bat20.wav"
"51","Battery at 25 percent","Batteri på 25 procen","","YAAPU","bat25.wav"
"52","Battery at 30 percent","Batteri på 30 procen","","YAAPU","bat30.wav"
"53","Battery at 40 percent","Batteri på 40 procen","","YAAPU","bat40.wav"
"54","Battery at 50 percent","Batteri på 50 procen","","YAAPU","bat50.wav"
"55","Battery at 60 percent","Batteri på 60 procen","","YAAPU","bat60.wav"
"56","Battery at 70 percent","Batteri på 70 procen","","YAAPU","bat70.wav"
"57","Battery at 80 percent","Batteri på 80 procen","","YAAPU","bat80.wav"
"58","Battery at 90 percent","Batteri på 90 procen","","YAAPU","bat90.wav"
"59","Battery alert","Batteri advarse","","YAAPU","batalert.wav"
"60","Battery level 1 alert","Batteri niveau 1 advarse","","YAAPU","batalert1.wav"
"61","Battery level 2 alert","Batteri niveau 2 advarse","","YAAPU","batalert2.wav"
"62","Brake flight mode","Brems flyvning tilstan","","YAAPU","brake.wav"
"63","Circle flight mode","Cirkel flyvning tilstan","","YAAPU","circle.wav"
"64","Cruise flight mode","Togt flyvning tilstan","","YAAPU","cruise.wav"
"65","Motors disarmed","Motor deaktivere","","YAAPU","disarmed.wav"
"66","Distance","Distanc","","YAAPU","dist.wav"
"67","Drift flight mode","Drive flyvning tilstan","","YAAPU","drift.wav"
"68","E K F failsafe","E K F fejlsikke","","YAAPU","ekf.wav"
"69","failsafe","fejlsikke","","YAAPU","failsafe.wav"
"70","fence enabled","hegn aktivere","","YAAPU","fence.wav"
"71","fence breach","hegn nåe","","YAAPU","fencebreach.wav"
"72","Flip flight mode","Flip flyve tilstan","","YAAPU","flip.wav"
"73","flow position hold flyve tilstand","Flydende fast position tilstan","","YAAPU","flowhold.wav"
"74","Fly by wire a flight mode","Flyv efter ledning a tilstan","","YAAPU","flybywirea.wav"
"75","Fly by wire b flight mode","Flyv efter ledning b tilstan","","YAAPU","flybywireb.wav"
"76","follow flight mode","Følg flyvning tilstan","","YAAPU","follow.wav"
"77","follow mode","Følg tilstan","","YAAPU","follow_r.wav"
"78","GPS 3D fix lock","GPS 3D fixpunkt lås","","YAAPU","gpsfix.wav"
"79","No gps","Ingen gp","","YAAPU","gpsnofix.wav"
"80","Guided flight mode","Guided flyve tilstan","","YAAPU","guided.wav"
"81","Guided mode","Guided tilstan","","YAAPU","guided_r.wav"
"82","Guided no gps flight mode","Guided ingen GPS flyve tilstan","","YAAPU","guidednogps.wav"
"83","Hold mode","Fast tilstan","","YAAPU","hold_r.wav"
"84","Initialising","Initialiserin","","YAAPU","initializing.wav"
"85","Initialising","Initialiserin","","YAAPU","initializing_r.wav"
"86","Land flight mode","Land flyvning tilstan","","YAAPU","land.wav"
"87","Landing complete","Landning komple","","YAAPU","landing.wav"
"88","Loiter flight mode","Loiter flyvning tilstan","","YAAPU","loiter.wav"
"89","Loiter mode","Loiter tilstan","","YAAPU","loiter_r.wav"
"90","Low battery","Lavt batter","","YAAPU","lowbat.wav"
"91","Manual flight mode","Manuel flyve tilstan","","YAAPU","manual.wav"
"92","Manual mode","Manuel tilstan","","YAAPU","manual_r.wav"
"93","Max altitude alert","Maksimal højde advarse","","YAAPU","maxalt.wav"
"94","Max distance alert","Maksimal distance advarse","","YAAPU","maxdist.wav"
"95","Low altitude alert","Lav højde advarse","","YAAPU","minalt.wav"
"96","Position hold flight mode","Fast position flyvning tilstan","","YAAPU","poshold.wav"
"97","Q acro flight mode","Q acro flyvning tilstan","","YAAPU","qacro.wav"
"98","Q autotune flight mode","Q autotune flyvning tilstan","","YAAPU","qautotune.wav"
"99","Q hover flight mode","Q hover flyvning tilstan","","YAAPU","qhover.wav"
"100","Q land flight mode","Q land flyvning tilstan","","YAAPU","qland.wav"
"101","Q loiter flight mode","Q loiter flyvning tilstan","","YAAPU","qloiter.wav"
"102","Q return to home flight mode","Q retur til hjem tilstan","","YAAPU","qrtl.wav"
"103","Q stabilise flight mode","Q stabiliseret flyvning tilstan","","YAAPU","qstabilize.wav"
"104","Return to home","Retur til hje","","YAAPU","rtl.wav"
"105","Return to home mode","Retur til hje","","YAAPU","rtl_r.wav"
"106","simple mode","enkel tilstan","","YAAPU","simple_r.wav"
"107","simple mode disabled","enkel tilstand afbrud","","YAAPU","simpleoff.wav"
"108","simple mode enabled","enkel tilstand aktivere","","YAAPU","simpleon.wav"
"109","Smart return to home flight mode","Smart retur tiil hjem flyve tilstan","","YAAPU","smartrtl.wav"
"110","Smart return to home mode","Smart retur til hjem tilstan","","YAAPU","smartrtl_r.wav"
"111","Sport flight mode","Sport flyvning tilstan","","YAAPU","sport.wav"
"112","super simple mode disabled","super enkel tilstand afbrud","","YAAPU","ssimpleoff.wav"
"113","super simple mode enabled","super enkel tilstand aktivere","","YAAPU","ssimpleon.wav"
"114","Stabilise flight mode","Stabiliseret flyvning tilstan","","YAAPU","stabilize.wav"
"115","Steering mode","Styre tilstan","","YAAPU","steering_r.wav"
"116","no terrain data","ingen tropogiske informatione","","YAAPU","terrainko.wav"
"117","Thermal flight mode","Thermal flyvning tilstan","","YAAPU","thermal.wav"
"118","Throw flight mode","Throw flyvning tilstan","","YAAPU","throw.wav"
"119","Timer alert","Timer advarse","","YAAPU","timealert.wav"
"120","Training flight mode","Træning flyvning tilstan","","YAAPU","training.wav"
"121","turtle mode","turtle tilstan","","YAAPU","turtle.wav"
"122","Zigzag flight mode","Zigzag flyve tilstan","","YAAPU","zigzag.wav"
"123","takeoff flight mode","takeoff flyve tilstan","","YAAPU","takeofffm.wav"
"124","System I D flight mode","System I D flyve tilstan","","YAAPU","systemid.wav"
"125","autorotate flight mode","auto drejning tilstan","","YAAPU","autorotate.wav"
"126","velocity flight mode","hastighed flyvning tilstan","","YAAPU","velocity.wav"
"127","Yaa-pu telemetry ready","Yaa-pu telemetri kla","","YAAPU","yaapu.wav"
"128","Altitude control mode","Højde kontrol tilstand","PX4","YAAPU","altctl.wav"
"129","Position control mode","Position kontrol tilstand","PX4","YAAPU","posctl.wav"
"130","ready","klar","PX4","YAAPU","ready.wav"
"131","Auto takeoff mode","Auto takeoff tilstand","PX4","YAAPU","takeoff.wav"
"132","Auto mission mode","Auto mission tilstand","PX4","YAAPU","mission.wav"
"133","link loss failsafe mode","link tabt fejlsikring tilstand","PX4","YAAPU","rtgs.wav"
"134","Precision landing mode","Præsion landings tilstand","PX4","YAAPU","precland.wav"
"135","Offboard mode","Offboard tilstand","PX4","YAAPU","offboard.wav"
"136","rate attitude mode","Styret højde tilstand","PX4","YAAPU","rattitude.wav"
"137","simple mode","enkel tilstand","PX4","YAAPU","simple.wav"
"138","PreArming: Need 3D Fix","Pre aktivering: kræver 3D fixpunkt","Msg-Hash","YAAPU","264977348.wav"
"139","Smart RTL Unavailable","Smart RTL utilgængelig","Msg-Hash","YAAPU","1834616480.wav"
"140","EKF variance","EKF varians","Msg-Hash","YAAPU","2386213680.wav"
"141","GPS Glitch cleared","GPS Glitch slettet","Msg-Hash","YAAPU","2310179660.wav"
"142","GPS Glitch","GPS Glitch","Msg-Hash","YAAPU","4137200300.wav"
"143","Parachute: Released","Faldskærm: udløst","Msg-Hash","YAAPU","2664106240.wav"
"144","Flight plan received","Flyve plan modtaget","Msg-Hash","YAAPU","656739232.wav"
"145","Mission complete","Mission komplet","Msg-Hash","YAAPU","3708582640.wav"
"146","Geofence triggered","Geohegn udløst","Msg-Hash","YAAPU","1809087708.wav"
"147","Flight mode change failed","Skift af flyve tilstand fejlet","Msg-Hash","YAAPU","116655276.wav"
"148","AutoTune: Success","AutoTune: Succes","Msg-Hash","YAAPU","1008001424.wav"
"149","AutoTune: Failed","AutoTune: Fejlet","Msg-Hash","YAAPU","1396289024.wav"
"150","Transition done","Oversættelse gennemført","Msg-Hash","YAAPU","986165592.wav"
"151","Transition started","Oversættelse begyndt","Msg-Hash","YAAPU","1249672288.wav"
"152","Transition done","Oversættelse gennemført","Msg-Hash","YAAPU","4019153925.wav"
"153","Transition VTOL done","Oversættelse VTOL gennemført","Msg-Hash","YAAPU","3417557720.wav"
"154","Land descend started","Landing nedstigning started","Msg-Hash","YAAPU","1204090832.wav"
"155","Land final started","Landing startet","Msg-Hash","YAAPU","2890289840.wav"
"156","Soaring: Outside max radius","Skyhøjde: udenfor maksimal radius","Msg-Hash","YAAPU","1883944664.wav"
"157","Soaring: Disabled.","Skyhøjde: afbrudt","Msg-Hash","YAAPU","4175833240.wav"
"158","Soaring: not climbing","Skyhøjde: stiger ikke","Msg-Hash","YAAPU","2599859119.wav"
"159","Soaring: drifted too far","Skyhøjde: afviger for meget","Msg-Hash","YAAPU","636067590.wav"
"160","Soaring: Too high","Skyhøjde: for høj","Msg-Hash","YAAPU","2730864352.wav"
"161","Soaring: Too low","Skyhøjde: for lav","Msg-Hash","YAAPU","1698465616.wav"
"162","Soaring: Thermal ended","Skyhøjde: Thermal sluttet","Msg-Hash","YAAPU","981284144.wav"
"163","Soaring: Drifted too far","Skyhøjde: afviger for meget","Msg-Hash","YAAPU","2913564252.wav"
"164","Soaring: Exit via RC switch","Skyhøjde: afbrudt ved sender kontakt","Msg-Hash","YAAPU","1746499976.wav"
"165","Soaring: Enabled.","Skyhøjde: aktiveret","Msg-Hash","YAAPU","883458048.wav"
"166","Soaring: thermal weak","Skyhøjde: thermal svag","Msg-Hash","YAAPU","2139150204.wav"
"167","Soaring: reached upper altitude","Skyhøjde: nået øverste højde","Msg-Hash","YAAPU","1352994600.wav"
"168","Soaring: reached lower altitude","Skyhøjde: nået lavste højde","Msg-Hash","YAAPU","4026147344.wav"
"169","reached command:","nået kommando:","Msg-Hash","YAAPU","4091124880.wav"
"170","reached waypoint:","nået vejpunkt:","Msg-Hash","YAAPU","3311875476.wav"
"171","Passed waypoint:","Passeret vejpunkt:","Msg-Hash","YAAPU","1997782032.wav"
"172","Takeoff complete","Takeoff komplet","Msg-Hash","YAAPU","554623408.wav"
"173","Smart RTL deactivated","Smart RTL afbrudt","Msg-Hash","YAAPU","3025044912.wav"
"174","GPS home acquired","GPS hjem registreret","Msg-Hash","YAAPU","3956583920.wav"
"175","GPS home acquired","GPS hjem registreret","Msg-Hash","YAAPU","1309405592.wav"
